'4.47', 2, 2, -18, 14, 2, 0, 0, 1
'4.48', 1, 1, -60, 28, 4, 0, 0, 0
'4.49', 2, 2, 192, 2, 2, 0, 0, 0
'4.50', 1, 1, -92, 68, 8, 1, 1, 0
'4.51', 1, 1, -32, 28, 4, 0, 0, 0
'4.52', 1, 1, 24, 64, 4, 0, 0, 0
'4.53', 1, 1, 180, 8, 2, 0, 0, 0
'4.54', 1, 1, 24, 28, 4, 1, 1, 0
'4.55', 2, 2, 1200, 26, 2, 0, 0, 0
'4.56', 1, 1, 68, 8, 2, 0, 0, 0
'4.57', 1, 1, 0, 32, 2, 0, 0, 0
'4.58', 1, 1, -44, 122, 5, 0, 0, 1
'4.59', 3, 3, -44, 23, 3, 1, 1, 0
'4.60', 2, 2, 24, 14, 2, 0, 0, 0
'4.61', 1, 1, -16, 20, 2, 0, 0, 0
'4.62', 1, 1, -92, 54, 3, 0, 0, 1
'4.63', 1, 1, 104, 1, 1, 1, 0, 0
'4.64', 1, 1, 192, 4, 4, 0, 0, 0
'4.65', 2, 2, -72, 32, 8, 1, 1, 0
'4.66', 2, 2, -130, 14, 2, 0, 1, 1
'4.67', 1, 1, 384, -14, 1, 0, 0, 1
'4.68', 1, 1, -102, 14, 5, 0, 0, 1
'4.69', 3, 3, -64, 20, 6, 0, 0, 0
'4.70', 1, 1, 432, -4, 2, 0, 0, 0
'4.71', 3, 3, 48, 8, 12, 0, 0, 0
'4.72', 3, 3, -116, 22, 6, 1, 0, 0
'4.73', 1, 1, 68, 98, 2, 1, 0, 0
'4.74', 3, 3, -144, 10, 3, 0, 0, 1
'4.75', 1, 1, -78, 3822, 39, 0, 0, 1
'4.76', 1, 1, -12, 10, 1, 0, 0, 1
'4.77', 3, 3, 24, -16, 24, 0, 0, 0
'5.1', 1, 1, -30, 468, 30, 0, 0, 0
'5.2', 2, 1, -106, 760, 46, 0, 0, 1
'5.3', 2, 1, -6, 24, 18, 0, 0, 1
'5.4', 1, 1, -44, 628, 40, 0, 0, 0
'5.5', 1, 1, -50, 530, 35, 0, 0, 1
'5.6', 1, 1, -4, 12, 12, 0, 0, 0
'5.7', 1, 1, -98, 756, 42, 0, 0, 0
'5.8', 2, 1, -2, 24, 6, 0, 0, 1
'5.9', 4, 4, 272, -8, 16, 0, 0, 0
'5.10', 2, 2, -78, 430, 28, 0, 0, 0
'5.11', 2, 1, 38, 100, 4, 0, 0, 0
'5.12', 12, 6, 450, -6, 12, 0, 0, 0
'5.13', 4, 4, 360, -4, 8, 0, 0, 0
'5.14', 1, 1, 20, 20, 8, 0, 0, 0
'5.15', 1, 1, -32, 72, 12, 1, 1, 0
'5.16', 1, 1, -50, 40, 10, 0, 0, 0
'5.17', 1, 1, -2, 12, 6, 0, 0, 0
'5.18', 1, 1, -86, 958, 61, 0, 0, 1
'5.19', 4, 2, 258, -2, 4, 0, 0, 0
'5.20', 1, 1, -84, 954, 57, 0, 0, 1
'5.21', 3, 3, 60, 15, 3, 1, 1, 0
'5.22', 1, 1, -102, 426, 21, 0, 0, 1
'5.23', 1, 1, -88, -452, 34, 0, 0, 0
'5.24', 1, 1, -100, 506, 29, 0, 0, 1
'5.25', 1, 1, -102, 177, 33, 1, 0, 0
'5.26', 3, 3, 40, 148, 6, 0, 0, 0
'5.27', 1, 1, -92, 194, 38, 1, 1, 0
'5.28', 2, 2, -44, 40, 10, 0, 0, 1
'5.29', 1, 1, -100, 248, 14, 0, 0, 0
'5.30', 1, 1, -108, 326, 17, 0, 0, 1
'5.31', 1, 1, -92, 260, 56, 1, 1, 0
'5.32', 1, 1, -60, 48, 12, 0, 0, 0
'5.33', 3, 1, -52, 336, 18, 0, 0, 0
'5.34', 3, 1, -56, 330, 21, 0, 0, 1
'5.35', 1, 1, -100, 426, 21, 0, 0, 1
'5.36', 3, 1, -80, 270, 15, 0, 0, 1
'5.37', 1, 1, -32, -8, 10, 0, 0, 0
'5.38', 3, 3, -52, 0, 6, 0, 0, 0
'5.39', 1, 1, -18, 86, 5, 0, 0, 1
'5.40', 3, 1, -76, 504, 30, 0, 0, 0
'5.41', 6, 1, 168, 192, 12, 1, 1, 0
'5.42', 2, 1, 80, 48, 12, 1, 1, 0
'5.43', 1, 1, -44, 224, 14, 0, 0, 0
'5.44', 1, 1, -36, 106, 13, 0, 0, 1
'5.45', 3, 1, 52, 150, 18, 1, 1, 0
'5.46', 1, 1, -98, 98, 14, 1, 1, 0
'5.47', 1, 1, -8, 80, 20, 0, 0, 0
'5.48', 1, 1, 136, 232, 4, 0, 0, 0
'5.49', 2, 1, -92, 804, 48, 0, 0, 0
'5.50', 1, 1, 48, -4, 20, 0, 1, 0
'5.51', 1, 1, -74, 374, 23, 0, 0, 1
'5.52', 2, 2, 180, 74, 20, 0, 0, 1
'5.53', 1, 1, 208, -14, 1, 0, 0, 1
'5.54', 1, 1, -60, 70, 10, 1, 1, 0
'5.55', 1, 1, -64, 116, 20, 1, 0, 0
'5.56', 2, 1, -16, 184, 40, 1, 0, 0
'5.57', 2, 1, 496, -40, 8, 1, 0, 0
'5.58', 3, 1, 18, 189, 45, 1, 0, 0
'5.59', 3, 1, 558, 54, 9, 0, 1, 1
'5.60', 1, 1, 54, 29, 5, 1, 0, 0
'5.61', 1, 1, 426, 46, 1, 0, 1, 1
'5.62', 2, 1, 48, 92, 20, 1, 0, 0
'5.63', 2, 1, 528, -104, 4, 0, 0, 0
'5.64', 1, 1, 236, 5, 5, 1, 1, 0
'5.65', 3, 3, 252, 39, 15, 1, 1, 0
'5.66', 3, 1, -28, 30, 15, 0, 0, 1
'5.67', 2, 2, 272, 22, 10, 0, 0, 0
'5.68', 1, 1, -14, 98, 17, 0, 0, 1
'5.69', 9, 9, 810, 9, 9, 1, 1, 0
'5.70', 1, 1, -104, 378, 21, 0, 0, 1
'5.71', 3, 1, 234, 54, 18, 1, 0, 0
'5.72', 3, 3, 34, 38, 3, 0, 1, 1
'5.73', 1, 1, -72, 340, 16, 0, 0, 0
'5.74', 1, 1, -36, 118, 7, 0, 0, 1
'5.75', 1, 1, -92, 396, 18, 0, 0, 0
'5.76', 1, 1, -90, 348, 18, 0, 0, 0
'5.77', 1, 1, -36, 170, 11, 0, 0, 1
'5.78', 1, 1, -104, 506, 29, 0, 0, 1
'5.79', 1, 1, -86, 304, 22, 0, 0, 0
'5.80', 2, 2, -144, 122, 26, 0, 0, 0
